,id,num_nodes_joke,num_nodes_nonj
1005,5yipwd,8,7
1006,5yix2j,4,4
1007,4qii0e,4,5
1008,34hw6c,4,5
1009,3nggqr,13,13
1010,4bltip,6,4
1011,3nsg4q,4,4
1012,2e4qvq,3,3
1013,4qbgt8,7,6
1014,s2mym,5,7
1015,s2gah,3,3
1016,34gagp,4,4
1017,7pcjsd,4,4
1018,rzx53,2,2
1019,tmdkf,6,6
1020,45rjik,3,5
1021,5ffgn1,3,3
1022,4qt7eh,4,3
1023,2euh5x,28,0
1024,3ilaeb,2,4
1025,3i2a1f,6,6
1026,7w3sdy,8,8
1027,7vzost,5,5
1028,tvk5i,6,4
1029,3jng8a,4,4
1030,5yh93u,6,4
1031,3l3u03,4,4
1032,sww0e,15,15
1033,5r5kk8,4,2
1034,45qla9,16,12
1035,33odqa,0,0
1036,4qpp3h,9,9
1037,45lta6,5,4
1038,3rrudz,4,5
1039,3s0kg6,4,4
1040,c9tpgp,6,5
1041,3rmic6,7,7
1042,3r67m0,6,6
1043,qcsho,8,8
1044,3rj08h,4,4
1045,40wzte,6,10
1046,3thckj,4,5
1047,35uvnp,8,8
1048,7hzuw5,13,0
1049,pwdrr,9,5
1050,35nmmu,7,7
1051,35j0t5,3,5
1052,3skas1,4,5
1053,34x0ek,6,6
1054,5evjqm,8,8
1055,2dznjt,16,13
1056,7mzu6t,7,7
1057,4q386t,11,11
1058,5lwao9,4,5
1059,7ns6xq,8,6
1060,7nq5nc,9,0
1061,3pr02f,6,7
1062,r53yi,2,4
1063,2dsjoy,4,4
1064,7m1366,3,3
1065,qq4nn,2,4
1066,356lek,3,3
1067,357sua,6,6
1068,357uau,7,7
1069,52w08e,5,3
1070,3pz8en,6,6
1071,3ptsjk,4,5
1072,3q3zij,4,4
1073,2dxhsi,7,7
1074,5xwnij,5,5
1075,3ttowr,16,16
1076,39b3fn,6,6
1077,87tbyx,6,6
1078,31aozd,4,4
1079,2gfep7,6,6
1080,4rz2rl,6,6
1081,31txwq,3,3
1082,85s71f,5,5
1083,4avhb8,11,11
1084,869cth,8,8
1085,3ahpgq,4,5
1086,87hmtg,11,7
1087,31p3x8,4,4
1088,3aauxc,7,7
1089,3ab8i6,3,4
1090,3tqava,5,7
1091,3175ca,2,3
1092,51ubyu,3,3
1093,362bqf,13,13
1094,xz4mb,4,2
1095,35m3n4,3,3
1096,4stmc8,4,5
1097,y7dby,6,6
1098,30myjr,7,7
1099,35aapt,4,4
1100,30puwd,6,6
1101,35i6f9,4,6
1102,xxb5e,6,6
1103,373cv1,2,6
1104,xm0bc,6,6
1105,5xtah7,6,6
1106,36dcxf,5,5
1107,3668d2,3,3
1108,8blilv,9,10
1109,51w1wd,8,0
1110,bxqw5f,6,2
1111,3fq26y,6,6
1112,3g0sru,6,6
1113,4b56qy,4,4
1114,32omob,6,7
1115,4reoha,6,8
1116,5fs0d4,0,0
1117,3tdr3v,5,5
1118,5lk4vj,3,4
1119,3g71vs,3,3
1120,336f7m,7,0
1121,336k29,3,4
1122,7x7k24,8,8
1123,4r12y1,2,3
1124,338sp1,5,9
1125,3hpkpt,3,3
1126,32xioh,2,2
1127,ulw61,4,4
1128,4r77hj,19,6
1129,3tajfx,5,5
1130,3h6bld,2,4
1131,7wmgjs,6,6
1132,80nn0d,8,8
1133,2fxq5c,11,0
1134,83jnch,6,7
1135,83pcpu,5,5
1136,5fy4e0,6,0
