,id,deg_assortativity_coefficient_joke,deg_assortativity_coefficient_njok
346,97pppp,,
347,97pppp,,
348,97pppp,,
349,97pppp,,
350,97pppp,,
351,97pppp,-0.6193235372853317,-1.0
352,97pppp,,
353,97pppp,-0.6666666666666686,-0.9999999999999991
354,97pppp,,
355,97pppp,,
356,97pppp,,
357,97pppp,-0.4999999999999998,-0.4999999999999998
358,97pppp,,
359,97pppp,-0.7905694150420951,-0.7905694150420951
360,97pppp,,
361,97pppp,,
362,97pppp,-0.7499999999999999,-0.7499999999999999
363,97pppp,,
364,97pppp,,
365,97pppp,,
366,97pppp,,
367,97pppp,-0.4999999999999988,-0.4999999999999988
368,97pppp,-0.5308003995553907,-0.5308003995553907
369,97pppp,,-0.5773502691896258
370,97pppp,-0.28571428571428625,-0.28571428571428625
371,97pppp,,
372,97pppp,-0.6324555320336747,-0.6324555320336747
373,97pppp,-0.250000000000001,-0.250000000000001
374,97pppp,-0.4714045207910292,-0.4714045207910292
375,97pppp,,
376,97pppp,,
377,97pppp,,
378,97pppp,,
379,97pppp,-0.09999999999999812,-0.10000000000000027
380,97pppp,,
381,97pppp,-0.2182178902359924,-inf
382,97pppp,,
383,97pppp,,
384,97pppp,-0.16666666666666782,
385,97pppp,,
386,97pppp,,-0.4999999999999988
387,97pppp,,
388,97pppp,-0.3910849323649393,-0.5833333333333326
389,97pppp,,
390,97pppp,,
391,97pppp,,-inf
392,97pppp,,
393,97pppp,,
394,97pppp,-0.3333333333333326,-0.3333333333333326
395,97pppp,-0.5773502691896258,
396,97pppp,0.0,0.0
397,97pppp,-0.6546536707079772,-0.6546536707079772
398,97pppp,-0.4999999999999988,
399,97pppp,,
400,97pppp,,
401,97pppp,,
402,97pppp,-0.4999999999999988,-0.7905694150420939
403,97pppp,,
404,97pppp,,
405,97pppp,,
406,97pppp,,
407,97pppp,,
408,97pppp,,
409,97pppp,-0.1666666666666656,-0.1666666666666656
410,97pppp,0.0,0.0
411,97pppp,,
412,97pppp,,
413,97pppp,,
414,97pppp,-0.5773502691896258,-0.5773502691896258
415,97pppp,-0.250000000000001,0.0
416,97pppp,,
417,97pppp,,
418,97pppp,,
419,97pppp,,
420,97pppp,,
421,97pppp,-0.4999999999999988,-0.4999999999999988
422,97pppp,,
423,97pppp,,
424,97pppp,,
425,97pppp,,
426,97pppp,-0.16666666666666782,-0.16666666666666782
427,97pppp,,
428,97pppp,,
429,97pppp,,
430,97pppp,,
431,97pppp,,
